gene_accession,cip5_S1,cip5_S3,cip5_S2
MEG_7181|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,64.0,96.0,79.0
MEG_7333|Drugs|Glycopeptides|VanA-type_resistance_protein|VAN|RequiresSNPConfirmation,6.0,2.0,0.0
MEG_2435|Drugs|betalactams|Class_A_betalactamases|CTX,10134.0,33752.0,28797.0
MEG_5367|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6630|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,158.0,0.0,153.0
MEG_4976|Drugs|betalactams|Class_D_betalactamases|OXA,0.0,12.0,0.0
MEG_4325|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,117.0,129.0,82.0
MEG_1121|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ARMR,129.0,0.0,218.0
MEG_1593|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,2285.0,238.0,1625.0
MEG_2443|Metals|Copper_resistance|Copper_resistance_regulator|CUER,3329.0,3640.0,2823.0
MEG_4356|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0.0,0.0,67.0
MEG_8678|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RPSL|RequiresSNPConfirmation,4037.0,4007.0,3866.0
MEG_1231|Metals|Copper_resistance|Copper_resistance_regulator|BHSA,2196.0,2646.0,1814.0
MEG_3178|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,3.0,1.0,3.0
MEG_2456|Metals|Copper_resistance|Copper_resistance_protein|CUTC,3325.0,3832.0,2721.0
MEG_1212|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR1,920.0,0.0,1457.0
MEG_1181|Biocides|Acid_resistance|Acid_resistance_protein|ASR,1853.0,2207.0,1524.0
MEG_2869|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,1291.0,446.0,427.0
MEG_1488|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|CADX,236.0,279.0,1055.0
MEG_3761|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTM,5051.0,4620.0,3969.0
MEG_3835|Drugs|Multi-drug_resistance|Multi-drug_MATE_efflux_pump|MEPB,0.0,80.0,0.0
MEG_7041|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,108.0,1953.0,1248.0
MEG_4337|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,141.0,61.0,110.0
MEG_7362|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,77.0,18.0,0.0
MEG_6656|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHB,4014.0,4755.0,3239.0
MEG_1211|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,1298.0,1627.0,1121.0
MEG_7812|Metals|Iron_resistance|Iron_resistance_protein|YBTQ,4207.0,301.0,765.0
MEG_3255|Biocides|Acid_resistance|Acid_resistance_protein|HDEB,1848.0,1990.0,1736.0
MEG_6836|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,63.0,64.0
MEG_6634|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,239.0,26.0,171.0
MEG_4349|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,75.0,102.0,97.0
MEG_4332|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,39.0,79.0,70.0
MEG_7854|Metals|Zinc_resistance|Zinc_resistance_regulator|ZNTR,3148.0,3188.0,2632.0
MEG_3200|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0
