gene_accession,cipbeta40_S3,cipbeta40_S2,cipbeta40_S1
MEG_5344|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6877|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,86.0
MEG_2446|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSA,15250.0,7405.0,16129.0
MEG_2485|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,141.0,42.0,34.0
MEG_964|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,0.0,43.0
MEG_6726|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,19.0
MEG_6929|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,45.0
MEG_1091|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,784.0,345.0,211.0
MEG_706|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADET2,0.0,127.0,0.0
MEG_3193|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_848|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,10.0,39.0
MEG_2529|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,13.0,26.0
MEG_7832|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|YGJH,3681.0,1679.0,4415.0
MEG_2961|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_3223|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_4057|Drugs|Lipopeptides|Daptomycin-resistant_mutant|MPRFD|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_3078|Biocides|Acid_resistance|Acid_resistance_protein|GADB,4541.0,1388.0,6108.0
MEG_8710|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,26.0
MEG_5375|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,129.0,9136.0,0.0
MEG_3998|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MNTH,5230.0,2556.0,5818.0
MEG_873|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,48.0,0.0,0.0
MEG_771|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,104.0,32.0,32.0
MEG_6414|Drugs|betalactams|Class_A_betalactamases|SHV,57.0,0.0,0.0
MEG_7849|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZINT,2369.0,1242.0,3047.0
MEG_4364|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,321.0,237.0,177.0
MEG_981|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME,0.0,0.0,35.0
MEG_2527|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,15.0,32.0
MEG_3897|Metals|Mercury_resistance|Mercury_resistance_protein|MERT,93.0,883.0,234.0
MEG_877|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,34.0,19.0,0.0
MEG_2689|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBB,1555.0,724.0,1841.0
MEG_812|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,0.0,59.0
MEG_3143|Drugs|Fosfomycin|Fosfomycin_target_mutation|GLPT|RequiresSNPConfirmation,29.0,0.0,15.0
MEG_3754|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTG,1616.0,1190.0,1803.0
MEG_8231|Drugs|Lipopeptides|Colistin-resistant_mutant|LPSB,0.0,206.0,0.0
MEG_8043|Drugs|betalactams|Class_A_betalactamases|CTX,15.0,0.0,0.0
MEG_6029|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,0.0,68.0,114.0
MEG_2448|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,2568.0,1278.0,2795.0
MEG_972|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,0.0,34.0
MEG_2801|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,37.0,0.0,0.0
MEG_3839|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,0.0,6.0,0.0
MEG_3289|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPB,1598.0,800.0,1856.0
MEG_4331|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,115.0,58.0,87.0
MEG_6048|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RCNA,2790.0,1480.0,3637.0
MEG_6608|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,113.0,42.0,22.0
MEG_1154|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,86.0,0.0,0.0
MEG_2671|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,124.0,61.0,123.0
MEG_6249|Drugs|betalactams|Class_A_betalactamases|SHV,20.0,0.0,0.0
MEG_6626|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,21.0,63.0,159.0
MEG_2704|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EFMA,0.0,583.0,0.0
MEG_5348|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,23.0,11.0,10.0
MEG_2384|Drugs|betalactams|Class_A_betalactamases|CTX,24.0,20.0,0.0
MEG_241|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,10.0,0.0,0.0
MEG_6582|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,37.0,34.0,106.0
MEG_4353|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,161.0,0.0,83.0
MEG_6013|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRD,0.0,47587.0,0.0
MEG_769|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,0.0,28.0
MEG_6959|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERE,0.0,90.0,0.0
MEG_905|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,28.0,39.0,0.0
MEG_1645|Drugs|betalactams|Class_A_betalactamases|CEPA,21.0,0.0,0.0
MEG_6652|Metals|Copper_resistance|Copper_resistance_protein|TCRB,2913.0,0.0,2939.0
MEG_381|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|ABUO,0.0,262.0,0.0
MEG_3082|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADW,266.0,178.0,351.0
MEG_694|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEK,0.0,82.0,0.0
MEG_7859|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUC,3067.0,1475.0,3591.0
MEG_3287|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPA,1973.0,1045.0,2305.0
MEG_7132|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,61.0,0.0,0.0
MEG_2721|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRA,1540.0,809.0,1858.0
MEG_7526|Drugs|Glycopeptides|VanC-type_resistance_protein|VANTC,55.0,0.0,776.0
MEG_2637|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,0.0,0.0,46.0
MEG_6633|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,31.0,68.0,120.0
MEG_1058|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,254.0,151.0,79.0
MEG_6094|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_1698|Drugs|betalactams|Class_A_betalactamases|CFX,13.0,15.0,25.0
MEG_863|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,27.0,0.0,0.0
MEG_774|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,23.0,0.0,0.0
MEG_7032|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,87.0,289.0,670.0
MEG_2585|Drugs|betalactams|Class_C_betalactamases|DHA,484.0,163.0,138.0
MEG_2191|Drugs|betalactams|Class_A_betalactamases|CTX,30.0,0.0,0.0
MEG_5343|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_3642|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA,0.0,0.0,162.0
MEG_405|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,2786.0,1418.0,3074.0
MEG_6590|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,78.0,48.0,24.0
MEG_5392|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,476.0,811.0,0.0
MEG_7306|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_796|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,0.0,35.0
MEG_869|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,54.0,0.0,0.0
MEG_5831|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACEDELTA1,211.0,87.0,0.0
MEG_5828|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACE,203.0,100.0,68.0
MEG_6124|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_834|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,32.0,44.0,0.0
MEG_888|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,0.0,63.0
MEG_1209|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,1532.0,761.0,1887.0
MEG_685|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEH,0.0,265.0,0.0
MEG_687|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI,0.0,45.0,0.0
MEG_701|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADEN,0.0,57.0,0.0
MEG_967|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,49.0,0.0,0.0
MEG_2680|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,120.0,70.0,122.0
MEG_2089|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORC,865.0,390.0,772.0
MEG_8699|Drugs|betalactams|Class_A_betalactamases|SHV,24.0,10.0,25.0
MEG_8461|Drugs|betalactams|Penicillin_binding_protein|PBP5|RequiresSNPConfirmation,248.0,703.0,0.0
