gene_accession,cipbeta10_S3,cipbeta10_S1,cipbeta10_S2
MEG_3009|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,0.0,935.0,0.0
MEG_5346|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,3.0
MEG_6827|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,20.0,17.0
MEG_6601|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,10.0,19.0,14.0
MEG_4345|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0.0,82.0,0.0
MEG_6586|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,26.0,30.0,0.0
MEG_3868|Metals|Mercury_resistance|Mercury_resistance_protein|MERE,97.0,118.0,74.0
MEG_1153|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,3286.0,3910.0,2210.0
MEG_6796|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,9.0,0.0
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6679|Drugs|betalactams|Class_A_betalactamases|TEM,8.0,0.0,0.0
MEG_5359|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_888|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,26.0,0.0,24.0
MEG_2527|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,30.0,0.0,70.0
MEG_4005|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODB,1403.0,1319.0,899.0
MEG_973|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,39.0,0.0,32.0
MEG_2693|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|EATAV|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_7832|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|YGJH,7609.0,7432.0,4754.0
MEG_2525|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,10.0,0.0,0.0
MEG_2868|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,1457.0,957.0,769.0
MEG_1086|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,488.0,962.0,645.0
MEG_972|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,16.0,0.0,50.0
MEG_6914|Drugs|betalactams|Class_A_betalactamases|TEM,304.0,0.0,16.0
MEG_7833|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YHCN,2656.0,2656.0,1755.0
MEG_3832|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MEPA,0.0,1517.0,0.0
MEG_6759|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,24.0,10.0
MEG_3076|Biocides|Acid_resistance|Acid_resistance_protein|GADA,13474.0,12452.0,8526.0
MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,26682.0,25372.0,17677.0
MEG_7123|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,303.0,0.0
MEG_2585|Drugs|betalactams|Class_C_betalactamases|DHA,29.0,0.0,0.0
MEG_5373|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,396.0,1142.0,498.0
MEG_3662|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARA,1993.0,1877.0,1205.0
MEG_5341|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,1.0,0.0
MEG_3627|Drugs|Lipopeptides|Colistin-resistant_mutant|LPXC|RequiresSNPConfirmation,1.0,1.0,0.0
MEG_2894|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECD,651.0,1592.0,658.0
MEG_846|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,0.0,25.0
MEG_2119|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,2695.0,2516.0,1662.0
MEG_797|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,0.0,30.0
MEG_2116|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,941.0,1060.0,1288.0
MEG_1118|Drugs|Multi-drug_resistance|MDR_regulator|ARLS,0.0,1869.0,0.0
MEG_2674|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,222.0,266.0,173.0
MEG_7854|Metals|Zinc_resistance|Zinc_resistance_regulator|ZNTR,3660.0,3695.0,2363.0
MEG_1566|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,0.0,36.0,0.0
MEG_1078|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,191.0,0.0,0.0
MEG_5333|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,23.0,117.0,3.0
MEG_6126|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,3.0,1.0
MEG_7317|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,299.0,418.0,394.0
MEG_6141|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|RPOS,9836.0,9920.0,7045.0
MEG_2440|Metals|Copper_resistance|Copper_resistance_protein|CUEO,13504.0,13623.0,8592.0
MEG_4324|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,116.0,76.0,240.0
MEG_8100|Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSA|RequiresSNPConfirmation,0.0,5632.0,0.0
MEG_6912|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,64.0,0.0
MEG_1282|Drugs|betalactams|Class_C_betalactamases|BLAEC,763.0,347.0,367.0
MEG_1016|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,0.0,71.0,0.0
MEG_303|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,17.0,0.0
