gene_accession,cip40_S3,cip40_S1,cip40_S2
MEG_2704|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EFMA,39.0,193.0,42.0
MEG_5359|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_5422|Metals|Copper_resistance|Copper_resistance_protein|PCOD,971.0,228.0,2072.0
MEG_6050|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|RCNR,2192.0,2863.0,1827.0
MEG_2146|Drugs|betalactams|Class_A_betalactamases|CTX,0.0,0.0,17.0
MEG_1357|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,0.0,27.0
MEG_1161|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSCM,1282.0,1592.0,1209.0
MEG_2086|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORA,2459.0,2641.0,1900.0
MEG_6655|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHA,8525.0,10251.0,6503.0
MEG_6045|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|RAMR|RequiresSNPConfirmation,2.0,2.0,15.0
MEG_5815|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTC,9707.0,11786.0,10210.0
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,4.0,3.0,1.0
MEG_5979|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0.0,0.0,167.0
MEG_6000|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,170.0,0.0,0.0
MEG_7853|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZNTA,21964.0,28766.0,19378.0
MEG_5932|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,346.0,47.0,1087.0
MEG_7162|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,0.0,47.0,0.0
MEG_6121|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_1192|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER,6377.0,8025.0,5446.0
MEG_2522|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,79.0,8.0,207.0
MEG_3271|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|HNS,4576.0,5190.0,3904.0
MEG_7526|Drugs|Glycopeptides|VanC-type_resistance_protein|VANTC,0.0,936.0,111.0
MEG_7857|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB,643.0,816.0,533.0
MEG_1567|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,0.0,0.0,29.0
