gene_accession,cipbeta20_S2,cipbeta20_S3,cipbeta20_S1
MEG_3083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADX,6222.0,1369.0,5714.0
MEG_2598|Drugs|betalactams|Class_C_betalactamases|DHA,9.0,154.0,0.0
MEG_687|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI,16.0,0.0,0.0
MEG_6614|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,13.0,53.0,13.0
MEG_6654|Metals|Copper_resistance|Copper_resistance_protein|TCRZ,46.0,45.0,0.0
MEG_961|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,109.0,0.0,0.0
MEG_7868|Metals|Zinc_resistance|Zinc_resistance_regulator|ZUR,1356.0,837.0,1345.0
MEG_2938|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_7864|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|ZRAS,6309.0,4916.0,6682.0
MEG_684|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEG,239.0,0.0,0.0
MEG_6875|Drugs|betalactams|Class_A_betalactamases|TEM,217.0,520.0,770.0
MEG_2458|Metals|Copper_resistance|Copper_resistance_protein|CUTF,4985.0,3165.0,4786.0
MEG_967|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,19.0,0.0
MEG_869|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,14.0,0.0
MEG_902|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,11.0,0.0,35.0
MEG_3271|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|HNS,3080.0,2136.0,3306.0
MEG_3065|Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSA|RequiresSNPConfirmation,0.0,22.0,3.0
MEG_3897|Metals|Mercury_resistance|Mercury_resistance_protein|MERT,296.0,68.0,695.0
MEG_1278|Drugs|betalactams|Class_C_betalactamases|BLAEC,2815.0,178.0,314.0
MEG_1211|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,1200.0,709.0,1304.0
MEG_6939|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,25.0
