gene_accession,cipdic40_S1,cipdic40_S3,cipdic40_S2
MEG_1421|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,114.0,0.0
MEG_6058|Drugs|MLS|23S_rRNA_methyltransferases|RLMH,12.0,603.0,1620.0
MEG_3001|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,109.0,9.0,0.0
MEG_6583|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0.0,12.0,0.0
MEG_4074|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD,21.0,0.0,0.0
MEG_1095|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,526.0,108.0,75.0
MEG_2995|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,78.0,27.0,0.0
MEG_2961|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6619|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,100.0,74.0,0.0
MEG_2081|Metals|Copper_resistance|Copper_resistance_regulator|COPZ,10.0,419.0,929.0
MEG_6299|Drugs|betalactams|Class_A_betalactamases|SHV,0.0,0.0,27.0
MEG_2524|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,10.0,0.0,0.0
MEG_6837|Drugs|betalactams|Class_A_betalactamases|TEM,11.0,0.0,0.0
MEG_967|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,9.0,0.0,0.0
MEG_6501|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILC,106.0,237.0,1890.0
MEG_1149|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,0.0,551.0,236.0
MEG_2086|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORA,2080.0,1712.0,2161.0
MEG_7360|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,0.0,65.0,55.0
MEG_6027|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,228.0,0.0,0.0
MEG_8693|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SEPA,12.0,502.0,1042.0
MEG_3754|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTG,2579.0,1782.0,2053.0
MEG_6962|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERZ,19.0,0.0,0.0
MEG_1096|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,550.0,116.0,58.0
MEG_2090|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORC,2476.0,1681.0,2021.0
MEG_3242|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6710|Drugs|betalactams|Class_A_betalactamases|TEM,12.0,0.0,0.0
MEG_2528|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,115.0,13.0
MEG_2132|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CRP,5934.0,4365.0,4963.0
MEG_1410|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,0.0,31.0
MEG_3627|Drugs|Lipopeptides|Colistin-resistant_mutant|LPXC|RequiresSNPConfirmation,1.0,0.0,0.0
